#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 12 02 03 30 344  2.2  3.0 99.00 99.00 99.00 999 1018.4 999.0  13.6 999.0 99.0 99.00 
2021 12 02 03 40 351  1.7  2.9  1.50 12.90  7.76 293 1018.3 999.0  13.6 999.0 99.0 99.00 
2021 12 02 03 50 353  1.5  2.3 99.00 99.00 99.00 999 1018.4 999.0  13.6 999.0 99.0 99.00 
2021 12 02 04 00  10  1.4  2.2 99.00 99.00 99.00 999 1018.4 999.0  13.6 999.0 99.0 99.00 
2021 12 02 04 10  48  1.5  2.4 99.00 99.00 99.00 999 1018.4 999.0  13.6 999.0 99.0 99.00 
2021 12 02 04 20  62  1.6  2.8 99.00 99.00 99.00 999 1018.4 999.0  13.6 999.0 99.0 99.00 
2021 12 02 04 30  51  1.5  2.5 99.00 99.00 99.00 999 1018.5 999.0  13.6 999.0 99.0 99.00 
2021 12 02 04 40  32  1.6  2.2  1.79 12.90  8.26 290 1018.5 999.0  13.6 999.0 99.0 99.00 
2021 12 02 04 50 346  2.0  2.7 99.00 99.00 99.00 999 1018.6 999.0  13.6 999.0 99.0 99.00 
2021 12 02 05 00 356  1.5  2.3 99.00 99.00 99.00 999 1018.6 999.0  13.6 999.0 99.0 99.00 
2021 12 02 05 10  16  1.4  2.2 99.00 99.00 99.00 999 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 02 05 20  61  1.4  2.8 99.00 99.00 99.00 999 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 02 05 30  75  1.8  2.8 99.00 99.00 99.00 999 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 02 05 40  92  2.1  3.5  1.62 12.12  7.94 298 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 02 05 50  92  2.5  3.7 99.00 99.00 99.00 999 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 02 06 00  86  1.9  3.1 99.00 99.00 99.00 999 1018.8 999.0  13.6 999.0 99.0 99.00 
2021 12 02 06 10  93  3.0  4.5 99.00 99.00 99.00 999 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 02 06 20 100  4.2  5.8 99.00 99.00 99.00 999 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 02 06 30 101  4.0  5.5 99.00 99.00 99.00 999 1018.8 999.0  13.6 999.0 99.0 99.00 
2021 12 02 06 40  99  4.4  5.9  1.94 12.12  8.97 297 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 02 06 50  99  4.7  5.9 99.00 99.00 99.00 999 1018.9 999.0  13.6 999.0 99.0 99.00 
2021 12 02 07 00  98  4.4  5.9 99.00 99.00 99.00 999 1018.9 999.0  13.6 999.0 99.0 99.00 
2021 12 02 07 10  93  4.8  6.1 99.00 99.00 99.00 999 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 07 20  93  5.1  6.9 99.00 99.00 99.00 999 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 07 30  94  4.6  6.7 99.00 99.00 99.00 999 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 07 40  94  5.0  6.3  1.78 12.12  8.78 296 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 02 07 50 101  5.4  6.9 99.00 99.00 99.00 999 1018.8 999.0  13.5 999.0 99.0 99.00 
2021 12 02 08 00 104  5.2  6.7 99.00 99.00 99.00 999 1018.8 999.0  13.5 999.0 99.0 99.00 
2021 12 02 08 10 103  5.0  6.5 99.00 99.00 99.00 999 1018.8 999.0  13.5 999.0 99.0 99.00 
2021 12 02 08 20 106  4.9  6.4 99.00 99.00 99.00 999 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 08 30 103  4.1  5.9 99.00 99.00 99.00 999 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 08 40 102  2.9  5.4  1.99 16.00  9.10 275 1019.1 999.0  13.5 999.0 99.0 99.00 
2021 12 02 08 50 106  2.2  3.7 99.00 99.00 99.00 999 1019.1 999.0  13.5 999.0 99.0 99.00 
2021 12 02 09 00 111  2.0  3.9 99.00 99.00 99.00 999 1019.1 999.0  13.6 999.0 99.0 99.00 
2021 12 02 09 10 103  2.1  3.4 99.00 99.00 99.00 999 1019.1 999.0  13.6 999.0 99.0 99.00 
2021 12 02 09 20 103  2.3  3.7 99.00 99.00 99.00 999 1019.0 999.0  13.6 999.0 99.0 99.00 
2021 12 02 09 30 104  3.0  4.6 99.00 99.00 99.00 999 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 02 09 40 108  3.6  5.3  2.07 17.39  8.71 282 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 09 50 106  3.6  5.3 99.00 99.00 99.00 999 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 02 10 00  93  3.1  4.5 99.00 99.00 99.00 999 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 10 10  72  2.7  4.0 99.00 99.00 99.00 999 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 10 20  84  2.7  4.6 99.00 99.00 99.00 999 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 02 10 30  84  2.7  4.3 99.00 99.00 99.00 999 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 02 10 40  90  2.7  4.6  2.13 16.00  9.05 289 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 02 10 50  82  3.0  4.5 99.00 99.00 99.00 999 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 02 11 00  87  3.5  5.4 99.00 99.00 99.00 999 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 02 11 10  84  3.8  5.2 99.00 99.00 99.00 999 1018.7 999.0  13.5 999.0 99.0 99.00 
2021 12 02 11 20  85  4.1  6.4 99.00 99.00 99.00 999 1018.7 999.0  13.5 999.0 99.0 99.00 
2021 12 02 11 30  85  3.8  5.6 99.00 99.00 99.00 999 1018.6 999.0  13.5 999.0 99.0 99.00 
2021 12 02 11 40  93  3.7  5.3  1.92 16.00  9.06 292 1018.6 999.0  13.5 999.0 99.0 99.00 
2021 12 02 11 50  98  3.1  4.6 99.00 99.00 99.00 999 1018.6 999.0  13.5 999.0 99.0 99.00 
2021 12 02 12 00  92  2.9  3.9 99.00 99.00 99.00 999 1018.6 999.0  13.5 999.0 99.0 99.00 
2021 12 02 12 10 101  3.0  4.7 99.00 99.00 99.00 999 1018.6 999.0  13.5 999.0 99.0 99.00 
2021 12 02 12 20 115  2.8  4.2 99.00 99.00 99.00 999 1018.5 999.0  13.5 999.0 99.0 99.00 
