#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2022 02 02 08 00 331  8.1 10.3 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 08 10 332  8.5 10.8 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 08 20 334  7.7  9.5 99.00 99.00 99.00 999 1020.1 999.0  12.1 999.0 99.0 99.00 
2022 02 02 08 30 334  7.2  9.2 99.00 99.00 99.00 999 1020.1 999.0  12.1 999.0 99.0 99.00 
2022 02 02 08 40 335  7.9  9.7  2.90 10.81  7.45 307 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 08 50 331  8.2 10.9 99.00 99.00 99.00 999 1019.8 999.0  12.1 999.0 99.0 99.00 
2022 02 02 09 00 333  8.1 10.3 99.00 99.00 99.00 999 1019.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 09 10 333  8.0 10.0 99.00 99.00 99.00 999 1019.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 09 20 333  7.6  9.7 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 09 30 327  7.2  8.9 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 09 40 329  7.0  9.4  2.74 11.43  6.97 294 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 09 50 328  6.4  8.6 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 10 00 330  7.1  9.0 99.00 99.00 99.00 999 1020.1 999.0  12.1 999.0 99.0 99.00 
2022 02 02 10 10 326  6.9  8.8 99.00 99.00 99.00 999 1020.1 999.0  12.1 999.0 99.0 99.00 
2022 02 02 10 20 336  7.2  9.2 99.00 99.00 99.00 999 1020.2 999.0  12.1 999.0 99.0 99.00 
2022 02 02 10 30 338  7.4  9.8 99.00 99.00 99.00 999 1020.1 999.0  12.1 999.0 99.0 99.00 
2022 02 02 10 40 340  7.2  9.4  2.96 12.12  7.40 291 1020.3 999.0  12.1 999.0 99.0 99.00 
2022 02 02 10 50 337  7.5 10.2 99.00 99.00 99.00 999 1020.3 999.0  12.1 999.0 99.0 99.00 
2022 02 02 11 00 333  7.4  9.1 99.00 99.00 99.00 999 1020.3 999.0  12.1 999.0 99.0 99.00 
2022 02 02 11 10 327  7.6  9.8 99.00 99.00 99.00 999 1020.3 999.0  12.1 999.0 99.0 99.00 
2022 02 02 11 20 329  7.8 10.0 99.00 99.00 99.00 999 1020.3 999.0  12.1 999.0 99.0 99.00 
2022 02 02 11 30 341  8.0  9.7 99.00 99.00 99.00 999 1020.3 999.0  12.1 999.0 99.0 99.00 
2022 02 02 11 40 347  7.3  9.2  2.88 10.81  7.01 294 1020.2 999.0  12.1 999.0 99.0 99.00 
2022 02 02 11 50 342  6.2  8.2 99.00 99.00 99.00 999 1020.4 999.0  12.1 999.0 99.0 99.00 
2022 02 02 12 00 328  7.1  9.1 99.00 99.00 99.00 999 1020.5 999.0  12.1 999.0 99.0 99.00 
2022 02 02 12 10 334  7.1  9.1 99.00 99.00 99.00 999 1020.5 999.0  12.1 999.0 99.0 99.00 
2022 02 02 12 20 334  6.9  8.8 99.00 99.00 99.00 999 1020.4 999.0  12.1 999.0 99.0 99.00 
